iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
200,2314.3974382951546,2023-01-30 02:52:39.808888,2023-01-30 02:54:18.927181,0 days 00:01:39.118293,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
104,2314.3974382951546,2023-01-29 23:43:24.805488,2023-01-29 23:45:06.487079,0 days 00:01:41.681591,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
103,2314.3974382951546,2023-01-29 23:41:37.716411,2023-01-29 23:43:18.645268,0 days 00:01:40.928857,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
102,2314.3974382951546,2023-01-29 23:39:52.234169,2023-01-29 23:41:33.217942,0 days 00:01:40.983773,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
101,2314.3974382951546,2023-01-29 23:38:04.808736,2023-01-29 23:39:45.806064,0 days 00:01:40.997328,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
149,2314.3974382951546,2023-01-30 01:04:07.330399,2023-01-30 01:05:48.259609,0 days 00:01:40.929210,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
199,2314.3974382951546,2023-01-30 02:50:52.461830,2023-01-30 02:52:34.895549,0 days 00:01:42.433719,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
98,2314.3974382951546,2023-01-29 23:32:27.033546,2023-01-29 23:34:20.377468,0 days 00:01:53.343922,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
97,2314.3974382951546,2023-01-29 23:30:41.471387,2023-01-29 23:32:22.293094,0 days 00:01:40.821707,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
96,2314.3974382951546,2023-01-29 23:28:56.127829,2023-01-29 23:30:36.982521,0 days 00:01:40.854692,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
95,2314.3974382951546,2023-01-29 23:27:10.634037,2023-01-29 23:28:51.598249,0 days 00:01:40.964212,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
94,2314.3974382951546,2023-01-29 23:25:26.109998,2023-01-29 23:27:06.595632,0 days 00:01:40.485634,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
93,2314.3974382951546,2023-01-29 23:23:40.775990,2023-01-29 23:25:21.509129,0 days 00:01:40.733139,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
92,2314.3974382951546,2023-01-29 23:21:55.294178,2023-01-29 23:23:36.206079,0 days 00:01:40.911901,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
91,2314.3974382951546,2023-01-29 23:19:19.637984,2023-01-29 23:21:51.087208,0 days 00:02:31.449224,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
89,2314.3974382951546,2023-01-29 23:15:34.681943,2023-01-29 23:17:33.322518,0 days 00:01:58.640575,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
150,2314.3974382951546,2023-01-30 01:05:55.002855,2023-01-30 01:07:35.848086,0 days 00:01:40.845231,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
87,2314.3974382951546,2023-01-29 23:12:16.783763,2023-01-29 23:13:57.821156,0 days 00:01:41.037393,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
73,2314.3974382951546,2023-01-29 22:45:51.343177,2023-01-29 22:48:01.851994,0 days 00:02:10.508817,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
74,2314.3974382951546,2023-01-29 22:48:06.695180,2023-01-29 22:49:47.031747,0 days 00:01:40.336567,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
75,2314.3974382951546,2023-01-29 22:49:50.990684,2023-01-29 22:51:31.606821,0 days 00:01:40.616137,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
153,2314.3974382951546,2023-01-30 01:11:11.523187,2023-01-30 01:12:52.690755,0 days 00:01:41.167568,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
77,2314.3974382951546,2023-01-29 22:53:29.479848,2023-01-29 22:55:10.315438,0 days 00:01:40.835590,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
152,2314.3974382951546,2023-01-30 01:09:25.973132,2023-01-30 01:11:06.368611,0 days 00:01:40.395479,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
105,2314.3974382951546,2023-01-29 23:45:13.278874,2023-01-29 23:46:54.342383,0 days 00:01:41.063509,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
79,2314.3974382951546,2023-01-29 22:56:56.126870,2023-01-29 22:58:53.035124,0 days 00:01:56.908254,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
81,2314.3974382951546,2023-01-29 23:00:59.828244,2023-01-29 23:02:55.687326,0 days 00:01:55.859082,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
82,2314.3974382951546,2023-01-29 23:03:00.576989,2023-01-29 23:04:58.328405,0 days 00:01:57.751416,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
83,2314.3974382951546,2023-01-29 23:05:02.932515,2023-01-29 23:06:43.549150,0 days 00:01:40.616635,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
84,2314.3974382951546,2023-01-29 23:06:48.368733,2023-01-29 23:08:41.216120,0 days 00:01:52.847387,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
85,2314.3974382951546,2023-01-29 23:08:46.089172,2023-01-29 23:10:26.848017,0 days 00:01:40.758845,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
86,2314.3974382951546,2023-01-29 23:10:31.391652,2023-01-29 23:12:12.097715,0 days 00:01:40.706063,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
151,2314.3974382951546,2023-01-30 01:07:40.280049,2023-01-30 01:09:21.065116,0 days 00:01:40.785067,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
106,2314.3974382951546,2023-01-29 23:47:01.047004,2023-01-29 23:48:47.360807,0 days 00:01:46.313803,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
107,2314.3974382951546,2023-01-29 23:48:51.659923,2023-01-29 23:50:42.533186,0 days 00:01:50.873263,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
148,2314.3974382951546,2023-01-30 01:02:21.303454,2023-01-30 01:04:02.142575,0 days 00:01:40.839121,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
127,2314.3974382951546,2023-01-30 00:24:48.893629,2023-01-30 00:26:29.795817,0 days 00:01:40.902188,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
128,2314.3974382951546,2023-01-30 00:26:34.419331,2023-01-30 00:28:15.920266,0 days 00:01:41.500935,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
144,2314.3974382951546,2023-01-30 00:55:15.834722,2023-01-30 00:56:57.323706,0 days 00:01:41.488984,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
130,2314.3974382951546,2023-01-30 00:30:00.391268,2023-01-30 00:31:41.396619,0 days 00:01:41.005351,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
131,2314.3974382951546,2023-01-30 00:31:48.019944,2023-01-30 00:33:29.086654,0 days 00:01:41.066710,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
132,2314.3974382951546,2023-01-30 00:33:33.539390,2023-01-30 00:35:14.569495,0 days 00:01:41.030105,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
126,2314.3974382951546,2023-01-30 00:23:01.613301,2023-01-30 00:24:42.483086,0 days 00:01:40.869785,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
133,2314.3974382951546,2023-01-30 00:35:18.865391,2023-01-30 00:36:59.930254,0 days 00:01:41.064863,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
135,2314.3974382951546,2023-01-30 00:38:51.510300,2023-01-30 00:40:32.536855,0 days 00:01:41.026555,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
143,2314.3974382951546,2023-01-30 00:53:30.514681,2023-01-30 00:55:11.135432,0 days 00:01:40.620751,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
137,2314.3974382951546,2023-01-30 00:42:24.269795,2023-01-30 00:44:05.079577,0 days 00:01:40.809782,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
138,2314.3974382951546,2023-01-30 00:44:09.634566,2023-01-30 00:45:50.544183,0 days 00:01:40.909617,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
139,2314.3974382951546,2023-01-30 00:45:57.277860,2023-01-30 00:47:50.138563,0 days 00:01:52.860703,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
140,2314.3974382951546,2023-01-30 00:47:56.272204,2023-01-30 00:49:46.318152,0 days 00:01:50.045948,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
134,2314.3974382951546,2023-01-30 00:37:06.227631,2023-01-30 00:38:47.142722,0 days 00:01:40.915091,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
72,2314.3974382951546,2023-01-29 22:43:44.819907,2023-01-29 22:45:46.583758,0 days 00:02:01.763851,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
125,2314.3974382951546,2023-01-30 00:21:04.086574,2023-01-30 00:22:57.136467,0 days 00:01:53.049893,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
123,2314.3974382951546,2023-01-30 00:16:54.741863,2023-01-30 00:18:52.703261,0 days 00:01:57.961398,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
147,2314.3974382951546,2023-01-30 01:00:35.782689,2023-01-30 01:02:16.834969,0 days 00:01:41.052280,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
110,2314.3974382951546,2023-01-29 23:54:06.907310,2023-01-29 23:55:48.014347,0 days 00:01:41.107037,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
111,2314.3974382951546,2023-01-29 23:55:54.056403,2023-01-29 23:57:35.444784,0 days 00:01:41.388381,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
112,2314.3974382951546,2023-01-29 23:57:41.821181,2023-01-29 23:59:22.548594,0 days 00:01:40.727413,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
113,2314.3974382951546,2023-01-29 23:59:27.245018,2023-01-30 00:01:12.602050,0 days 00:01:45.357032,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
114,2314.3974382951546,2023-01-30 00:01:17.273184,2023-01-30 00:02:59.339280,0 days 00:01:42.066096,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
124,2314.3974382951546,2023-01-30 00:19:01.477400,2023-01-30 00:20:59.674683,0 days 00:01:58.197283,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
115,2314.3974382951546,2023-01-30 00:03:03.584608,2023-01-30 00:04:44.804365,0 days 00:01:41.219757,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
117,2314.3974382951546,2023-01-30 00:06:37.480855,2023-01-30 00:08:18.276219,0 days 00:01:40.795364,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
146,2314.3974382951546,2023-01-30 00:58:50.460790,2023-01-30 01:00:31.569214,0 days 00:01:41.108424,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
145,2314.3974382951546,2023-01-30 00:57:01.887233,2023-01-30 00:58:42.865493,0 days 00:01:40.978260,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
120,2314.3974382951546,2023-01-30 00:11:22.533295,2023-01-30 00:13:06.475592,0 days 00:01:43.942297,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
121,2314.3974382951546,2023-01-30 00:13:11.410599,2023-01-30 00:14:52.185798,0 days 00:01:40.775199,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
122,2314.3974382951546,2023-01-30 00:15:07.721513,2023-01-30 00:16:48.164829,0 days 00:01:40.443316,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
116,2314.3974382951546,2023-01-30 00:04:51.954083,2023-01-30 00:06:32.885181,0 days 00:01:40.931098,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
141,2314.3974382951546,2023-01-30 00:49:52.854725,2023-01-30 00:51:35.895103,0 days 00:01:43.040378,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
71,2314.3974382951546,2023-01-29 22:41:40.366145,2023-01-29 22:43:40.269528,0 days 00:01:59.903383,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
167,2314.3974382951546,2023-01-30 01:35:10.017563,2023-01-30 01:36:52.050697,0 days 00:01:42.033134,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
176,2314.3974382951546,2023-01-30 01:51:22.861993,2023-01-30 01:53:03.569199,0 days 00:01:40.707206,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
175,2314.3974382951546,2023-01-30 01:49:37.263117,2023-01-30 01:51:18.035832,0 days 00:01:40.772715,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
174,2314.3974382951546,2023-01-30 01:47:51.734874,2023-01-30 01:49:32.905352,0 days 00:01:41.170478,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
23,2314.3974382951546,2023-01-29 21:15:02.359828,2023-01-29 21:16:43.346403,0 days 00:01:40.986575,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
24,2314.3974382951546,2023-01-29 21:16:49.507004,2023-01-29 21:18:30.838585,0 days 00:01:41.331581,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
173,2314.3974382951546,2023-01-30 01:46:06.079355,2023-01-30 01:47:47.204792,0 days 00:01:41.125437,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
178,2314.3974382951546,2023-01-30 01:55:38.225055,2023-01-30 01:57:18.830162,0 days 00:01:40.605107,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
172,2314.3974382951546,2023-01-30 01:44:18.874433,2023-01-30 01:46:01.360018,0 days 00:01:42.485585,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
170,2314.3974382951546,2023-01-30 01:40:32.705893,2023-01-30 01:42:23.505646,0 days 00:01:50.799753,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
169,2314.3974382951546,2023-01-30 01:38:45.262764,2023-01-30 01:40:26.183635,0 days 00:01:40.920871,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
168,2314.3974382951546,2023-01-30 01:36:56.753280,2023-01-30 01:38:38.702518,0 days 00:01:41.949238,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
31,2314.3974382951546,2023-01-29 21:29:30.031943,2023-01-29 21:31:26.246998,0 days 00:01:56.215055,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
32,2314.3974382951546,2023-01-29 21:31:31.168126,2023-01-29 21:33:22.945803,0 days 00:01:51.777677,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
33,2314.3974382951546,2023-01-29 21:33:28.410101,2023-01-29 21:35:18.003087,0 days 00:01:49.592986,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
171,2314.3974382951546,2023-01-30 01:42:30.281458,2023-01-30 01:44:12.028893,0 days 00:01:41.747435,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
34,2314.3974382951546,2023-01-29 21:35:23.887094,2023-01-29 21:37:18.847083,0 days 00:01:54.959989,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
179,2314.3974382951546,2023-01-30 01:57:26.902022,2023-01-30 01:59:07.223161,0 days 00:01:40.321139,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
182,2314.3974382951546,2023-01-30 02:02:47.258708,2023-01-30 02:04:28.361923,0 days 00:01:41.103215,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
197,2314.3974382951546,2023-01-30 02:29:26.976125,2023-01-30 02:31:07.739882,0 days 00:01:40.763757,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
196,2314.3974382951546,2023-01-30 02:27:30.515926,2023-01-30 02:29:22.503688,0 days 00:01:51.987762,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
195,2314.3974382951546,2023-01-30 02:25:45.194729,2023-01-30 02:27:25.680084,0 days 00:01:40.485355,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
194,2314.3974382951546,2023-01-30 02:23:58.151097,2023-01-30 02:25:39.133727,0 days 00:01:40.982630,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
193,2314.3974382951546,2023-01-30 02:22:12.299667,2023-01-30 02:23:53.458832,0 days 00:01:41.159165,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
192,2314.3974382951546,2023-01-30 02:20:23.397278,2023-01-30 02:22:04.444489,0 days 00:01:41.047211,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
181,2314.3974382951546,2023-01-30 02:00:55.002497,2023-01-30 02:02:35.985337,0 days 00:01:40.982840,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
190,2314.3974382951546,2023-01-30 02:16:53.850853,2023-01-30 02:18:34.385352,0 days 00:01:40.534499,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
188,2314.3974382951546,2023-01-30 02:13:20.623851,2023-01-30 02:15:01.416115,0 days 00:01:40.792264,0.6,0.6,15.0,7.0,700.0,5.5,0.78,COMPLETE
