boosting_type,colsample_bytree,device_type,force_col_wise,learning_rate,max_depth,metric,n_estimators,num_leaves,objective,random_state,reg_alpha,reg_lambda,verbosity,subsample,loss,iteration
gbdt,0.907451885856221,gpu,+,0.3754662312696934,5,rmse,496,35,regression,42,0.6047944143093238,0.9675164987175963,-1,0.5179079412755196,2494.436627364539,77
gbdt,0.8230923115754695,gpu,+,0.36512871690361115,5,rmse,496,31,regression,42,0.4894668782902981,0.69636599644406,-1,0.591361067630771,2494.7440834186727,74
gbdt,0.8468908337078175,gpu,+,0.36455896138284577,5,rmse,496,92,regression,42,0.3533138433456689,0.9739937907475058,-1,0.6545861028517201,2495.540476498434,71
gbdt,0.8804815947544664,gpu,+,0.35551921154589666,5,rmse,485,45,regression,42,0.5375438012031655,0.8089772809324,-1,0.5111325728091186,2496.3546671832946,82
gbdt,0.8562921274675127,gpu,+,0.3903406427946062,5,rmse,493,53,regression,42,0.036623619596709164,0.8572806793586647,-1,0.8741830073112846,2497.012946299508,58
gbdt,0.7659607502755255,gpu,+,0.3214044185733359,5,rmse,460,74,regression,42,0.025707184157049978,0.4635271715537794,-1,0.9985829206940574,2497.5548772761167,36
gbdt,0.8491821320587787,gpu,+,0.3443433815395757,5,rmse,460,58,regression,42,0.308587992649198,0.9293688365997559,-1,0.7712016969176211,2500.733054465377,65
gbdt,0.8674058915130141,gpu,+,0.39144397923310065,5,rmse,439,49,regression,42,0.16235744625024287,0.23877729834371952,-1,0.8383096228993097,2502.977387360382,45
gbdt,0.8338943085793039,gpu,+,0.39090498649331484,5,rmse,439,56,regression,42,0.12115389024732304,0.5738940694641715,-1,0.7950778452713334,2503.699820840124,49
gbdt,0.8165514394659175,gpu,+,0.44925985690383985,5,rmse,453,93,regression,42,0.23931493582286195,0.7740189508452564,-1,0.7853041047826619,2505.207540627764,62
gbdt,0.7703246326834663,gpu,+,0.332351999143053,5,rmse,429,54,regression,42,0.07225074163245343,0.3410909699180961,-1,0.9894284324743411,2507.133008938273,35
gbdt,0.8873692463699306,gpu,+,0.4862449680749736,5,rmse,431,90,regression,42,0.6606395057032035,0.8210235256716485,-1,0.7634514749189006,2508.153164053616,70
gbdt,0.8046740314085621,gpu,+,0.25634155793875163,5,rmse,463,58,regression,42,0.022341490608255653,0.9025754986224361,-1,0.6317166613405794,2510.224527580617,68
gbdt,0.860042736850208,gpu,+,0.22764597924087684,5,rmse,484,63,regression,42,3.9617413555594755e-05,0.7808361581887548,-1,0.7008289928075848,2511.6173644974638,48
gbdt,0.8412683735870925,gpu,+,0.4533838110624496,5,rmse,414,92,regression,42,0.6642634144470115,0.9095340318919524,-1,0.5497597857656132,2512.417016804752,81
gbdt,0.8817953104296705,gpu,+,0.5373889059041582,5,rmse,438,97,regression,42,0.47549194434302133,0.39372760265544504,-1,0.8100943573860033,2513.467387571925,56
gbdt,0.8715036078476401,gpu,+,0.5457955356482654,5,rmse,416,55,regression,42,0.16103607662336294,0.2548274252852365,-1,0.827694049944701,2517.216412264329,46
gbdt,0.9008149810394029,gpu,+,0.3403171387463695,5,rmse,359,87,regression,42,0.19577339404406607,0.47770099229350016,-1,0.8533831342722501,2517.7774444083007,40
gbdt,0.7742226852029729,gpu,+,0.5871319888681561,5,rmse,493,37,regression,42,0.8733793218104609,0.9688106796217922,-1,0.5729641629115405,2519.1611844258755,72
gbdt,0.7690023569857984,gpu,+,0.29699486481991294,5,rmse,390,74,regression,42,0.015311555445880365,0.3554341345473862,-1,0.9998508529308107,2519.6874355066657,37
dart,0.6154742660206868,gpu,+,0.9851077572798046,5,rmse,480,41,regression,42,0.5280955119745611,0.006464405752127755,-1,0.8691507284818007,2522.583866042121,24
gbdt,0.8898640210251003,gpu,+,0.48939553159514454,5,rmse,336,34,regression,42,0.9489741493125327,0.6880600493958586,-1,0.574561014320181,2522.9042938967405,95
gbdt,0.8376745249688938,gpu,+,0.20571636320855705,5,rmse,449,65,regression,42,0.8599341101373368,0.4375856545619258,-1,0.5338098583129552,2525.2925033693537,93
gbdt,0.9840493592965891,gpu,+,0.6432833251059086,5,rmse,410,35,regression,42,0.7525593754060816,0.8909547334602297,-1,0.5357596786172221,2527.9682947765064,78
gbdt,0.8551917756992162,gpu,+,0.19388154007390498,5,rmse,460,99,regression,42,0.3056708697508058,0.5460317071766418,-1,0.7106746749624684,2528.603255932692,67
gbdt,0.7501951564868112,gpu,+,0.19503272781356443,5,rmse,460,74,regression,42,0.04669795579199146,0.7444419724560978,-1,0.8327568387068849,2528.618531649236,42
gbdt,0.8312560492135588,gpu,+,0.16986514166953198,5,rmse,490,86,regression,42,0.10485065384868288,0.3126251782140914,-1,0.945140556336169,2531.3474325565608,55
gbdt,0.7622458885174889,gpu,+,0.26543140237100615,5,rmse,363,92,regression,42,0.38713747148647004,0.744285868217725,-1,0.6675525494867843,2533.926213790367,73
gbdt,0.6324624275720501,gpu,+,0.5102383741576837,5,rmse,333,48,regression,42,0.9855531885260742,0.33164579848673575,-1,0.9577982607609905,2534.1695498496983,34
dart,0.9088048666021546,gpu,+,0.835926126188124,5,rmse,427,85,regression,42,0.7175176554824938,0.6585586671412546,-1,0.5329025161299659,2534.559991344417,79
gbdt,0.9327094689259964,gpu,+,0.15719903861440374,5,rmse,496,81,regression,42,0.6081300129857575,0.9653647816157302,-1,0.5989951489453552,2536.327408159744,80
gbdt,0.9949784552768672,gpu,+,0.3147400436081094,5,rmse,301,39,regression,42,0.13881482641602433,0.9896823258065688,-1,0.7400494342834006,2538.6238327145134,69
dart,0.6047883695997112,gpu,+,0.8959483114704787,5,rmse,445,79,regression,42,0.5694179038186375,0.08356005709360255,-1,0.9994919476300507,2539.4232797166483,23
gbdt,0.9553795464344809,gpu,+,0.20031687039999324,5,rmse,406,31,regression,42,0.5219251950611169,0.7886707058411855,-1,0.5864396769392403,2540.1195750423167,75
gbdt,0.9325738503257252,gpu,+,0.6407564491092217,5,rmse,311,83,regression,42,0.2152998765333083,0.9217038077759943,-1,0.7658840343075851,2540.877868283535,66
gbdt,0.8344029556329167,gpu,+,0.17770561002958785,5,rmse,429,36,regression,42,0.0866680534606132,0.4129709060281219,-1,0.9008927588522975,2543.206889948023,38
dart,0.7103949562249098,gpu,+,0.9808703959572175,5,rmse,325,41,regression,42,0.55102874692264,0.1584608569104164,-1,0.9762721111076216,2548.9394454072094,22
dart,0.6998266604088479,gpu,+,0.9286569730274157,5,rmse,325,64,regression,42,0.5659291807927664,0.18607217966162976,-1,0.9857728609163754,2549.8964562873234,21
gbdt,0.8193110442155129,gpu,+,0.2367222420001442,5,rmse,330,54,regression,42,0.14070315491449498,0.4337930254144662,-1,0.985744842773429,2552.288054124621,41
dart,0.6360088148297264,gpu,+,0.9345581274648274,5,rmse,327,67,regression,42,0.37692596977823234,0.24495468901202633,-1,0.5730119347292308,2553.029242788797,29
dart,0.6561490834786129,gpu,+,0.6924166377412027,5,rmse,445,46,regression,42,0.5748350899861578,0.2980575390954062,-1,0.9066826478482259,2553.897040296812,27
gbdt,0.6894454990361362,gpu,+,0.1452240572989404,5,rmse,481,59,regression,42,0.7447806498003158,0.9296720156223648,-1,0.5921923085260676,2555.188306015628,99
dart,0.9668993115142569,gpu,+,0.588628807022708,5,rmse,464,33,regression,42,0.5029672472262386,0.8301642927215707,-1,0.5240771165656936,2558.957551745665,88
dart,0.9263631860910061,gpu,+,0.7415269739241613,5,rmse,367,42,regression,42,0.7528872194418216,0.2178244759022348,-1,0.6992496621019568,2559.329667543286,33
gbdt,0.8058010283078682,gpu,+,0.1738180479994063,5,rmse,403,88,regression,42,0.5843271735219537,0.71755607850328,-1,0.6504752717668472,2559.549314278911,85
goss,0.9105321106489171,gpu,+,0.25239532411121907,5,rmse,471,89,regression,42,0.8131232787005783,0.9921310845444775,-1,1.0,2559.6215207650307,57
dart,0.6498807608900727,gpu,+,0.6270869188216306,5,rmse,448,79,regression,42,0.2761761846293762,0.09041592483302192,-1,0.8438790050290486,2565.4080120025424,26
gbdt,0.9432145279172124,gpu,+,0.7703001306658855,5,rmse,335,73,regression,42,0.3287419299574772,0.2757312277174165,-1,0.6837856917550464,2568.194894482499,53
gbdt,0.8113889587061898,gpu,+,0.13756731550189882,5,rmse,447,44,regression,42,0.3300230869743832,0.6677903214677929,-1,0.9250972286927238,2570.832480721638,44
dart,0.7273767153072479,gpu,+,0.6339390439902276,5,rmse,348,64,regression,42,0.12470065927231533,0.5158321119303967,-1,0.8776232397417509,2572.147818352952,17
goss,0.9139446060618226,gpu,+,0.2872440985620558,5,rmse,421,47,regression,42,0.6902239756719812,0.8643820162576772,-1,1.0,2575.1316133764267,90
gbdt,0.7891390525757799,gpu,+,0.8272427458601368,5,rmse,380,43,regression,42,0.6009724764680386,0.6663328936532702,-1,0.8897559035204428,2579.538436094284,64
gbdt,0.894425796467982,gpu,+,0.1183614174759468,5,rmse,442,77,regression,42,0.3845907770423952,0.19672704062722177,-1,0.8726105779744816,2589.1722959232734,50
gbdt,0.7927913572994383,gpu,+,0.13021922432209312,5,rmse,418,51,regression,42,0.0858958612261924,0.46105214646181153,-1,0.9097401228908731,2589.4286080621678,39
gbdt,0.9253045479416953,gpu,+,0.12487235928847999,5,rmse,420,78,regression,42,0.5419482579326657,0.4869199066764462,-1,0.7210681132270406,2590.7380104386475,91
goss,0.8268380245724529,gpu,+,0.11816245545544321,5,rmse,496,80,regression,42,0.487553727284073,0.6992119215182452,-1,1.0,2591.084976415316,76
goss,0.962715682430964,gpu,+,0.14407603515287012,5,rmse,394,68,regression,42,0.4107459101828148,0.8376984307445807,-1,1.0,2593.911589524592,63
goss,0.8783884168822298,gpu,+,0.4181950540899823,5,rmse,496,72,regression,42,0.4657708244814989,0.7644009905112292,-1,1.0,2600.9581898431293,96
goss,0.9612350811822272,gpu,+,0.1587954841468251,5,rmse,347,70,regression,42,0.6946896343853821,0.28813841028148135,-1,1.0,2601.7970541930385,19
goss,0.7531398328513744,gpu,+,0.10273432514951952,5,rmse,493,91,regression,42,0.28197686647325315,0.7169181925676769,-1,1.0,2602.5272629160568,60
goss,0.65532341531143,gpu,+,0.10719226627978941,5,rmse,488,70,regression,42,0.883315277380862,0.8373883555532842,-1,1.0,2605.9985827822047,3
goss,0.7958349339836852,gpu,+,0.11119996642263948,5,rmse,443,65,regression,42,0.17187156139656068,0.8123959883573632,-1,1.0,2607.2952532116533,5
goss,0.9764547315469418,gpu,+,0.43744338749486467,5,rmse,381,38,regression,42,0.6810391246607139,0.6921104520712689,-1,1.0,2613.836159806413,18
dart,0.6081403550232632,gpu,+,0.44519855913075723,5,rmse,450,94,regression,42,0.46102756413531204,0.12746997011830885,-1,0.7851514819801819,2617.146505085306,28
gbdt,0.7319728089037019,gpu,+,0.15319315150559434,5,rmse,305,96,regression,42,0.7753643788278823,0.6170793585023162,-1,0.5663178661792632,2621.160538652781,8
gbdt,0.8232671977127016,gpu,+,0.9982991610174758,5,rmse,356,69,regression,42,0.7917118646340808,0.6030590318375748,-1,0.5548073072324332,2628.376322518257,86
gbdt,0.779175048010893,gpu,+,0.08353587854764495,5,rmse,479,95,regression,42,0.2419521623649534,0.5840667039235394,-1,0.9872492608133989,2640.6841272665747,43
dart,0.8139060640484542,gpu,+,0.3990308404588028,5,rmse,321,72,regression,42,0.9393697376027715,0.7340280179855683,-1,0.7295122570754028,2644.8644999859107,7
dart,0.6871468445985569,gpu,+,0.28361723610321166,5,rmse,480,62,regression,42,0.6179750343723932,0.009799601435694735,-1,0.9337298614999587,2646.1396608465,30
gbdt,0.8440235513046739,gpu,+,0.08597849683326474,5,rmse,451,82,regression,42,0.004349438032299757,0.8752866718451577,-1,0.8715993486874087,2646.3407776371687,59
goss,0.760849029947137,gpu,+,0.09598876608834746,5,rmse,372,98,regression,42,0.3072581638887394,0.8814784176329411,-1,1.0,2654.353160352148,13
gbdt,0.7419264787138681,gpu,+,0.08843363857027163,5,rmse,417,61,regression,42,0.9987626321122256,0.5511873797588833,-1,0.6435140544363108,2658.328265613517,92
goss,0.7412335382111885,gpu,+,0.07052711923416696,5,rmse,473,47,regression,42,0.43802918644092326,0.7995534416071729,-1,1.0,2666.055150760312,6
dart,0.9032534895075421,gpu,+,0.3721387367135073,5,rmse,361,96,regression,42,0.5607683033332789,0.9755065364288559,-1,0.6328074176763896,2668.707079086569,94
gbdt,0.9978433696880005,gpu,+,0.09685721125736507,5,rmse,350,30,regression,42,0.9209817283659104,0.6370340314241265,-1,0.746247578775495,2676.295191579988,15
dart,0.8967278314696967,gpu,+,0.22276699514353815,5,rmse,475,31,regression,42,0.4124735741681671,0.9950700416473431,-1,0.6156229954867691,2692.7453559967084,84
goss,0.7977869487944335,gpu,+,0.07470101449139775,5,rmse,379,49,regression,42,0.18804127341035826,0.14319866083009303,-1,1.0,2697.988652319539,52
dart,0.7248244000765587,gpu,+,0.3115210471320494,5,rmse,302,84,regression,42,0.6321888064445108,0.5317117279412497,-1,0.8037651981793159,2703.99398868466,100
goss,0.6845657149096784,gpu,+,0.06786442521779147,5,rmse,405,76,regression,42,0.7006214446213659,0.9554779863099281,-1,1.0,2709.4834923140124,10
dart,0.6119902318783483,gpu,+,0.292489538941873,5,rmse,430,57,regression,42,0.43203231114916296,0.04137173554837947,-1,0.8534714204404834,2710.8450110874337,25
goss,0.8536937628508525,gpu,+,0.05326061683644565,5,rmse,477,40,regression,42,0.3584815225733641,0.8791358871980453,-1,1.0,2719.733640723303,12
goss,0.8662148862295922,gpu,+,0.6968543122749081,5,rmse,496,60,regression,42,0.35093444935478463,0.7594637946882629,-1,1.0,2747.0552168030827,83
gbdt,0.7802074763854896,gpu,+,0.06303483707684253,5,rmse,387,66,regression,42,0.3523030172399569,0.810320087641621,-1,0.6758717619316723,2748.1350072547884,97
gbdt,0.8742993833635375,gpu,+,0.05620236284946117,5,rmse,435,84,regression,42,0.013183035637853835,0.5271098077466071,-1,0.6435188881084014,2750.0940166521896,14
gbdt,0.9735782469117338,gpu,+,0.07376709468018462,5,rmse,313,76,regression,42,0.4172515786969871,0.8417131826345363,-1,0.6308203547574986,2762.543849174132,98
dart,0.7816680870637424,gpu,+,0.21892527128216438,5,rmse,401,61,regression,42,0.727725743177325,0.41010395885331374,-1,0.9873379817267185,2774.817906892077,2
goss,0.7215906034300347,gpu,+,0.060779453545190924,5,rmse,329,71,regression,42,0.43590615544860356,0.6213621321800886,-1,1.0,2782.137468138414,54
gbdt,0.7071221806610035,gpu,+,0.04462306576855731,5,rmse,476,53,regression,42,0.04615013439731215,0.8540047635881257,-1,0.9463685564960584,2786.949166529611,61
goss,0.8467311756932073,gpu,+,0.044475410431869374,5,rmse,384,59,regression,42,0.9200092264373162,0.5434030676903124,-1,1.0,2823.9526455500177,9
dart,0.6699389495999191,gpu,+,0.21814767318324244,5,rmse,353,79,regression,42,0.5115554907699539,0.3723030004602333,-1,0.9297237421628264,2836.404439129188,32
gbdt,0.9173784195747261,gpu,+,0.03875422198025246,5,rmse,469,49,regression,42,0.26897243154968137,0.9413444074458812,-1,0.6167390524840491,2837.595122012153,47
gbdt,0.9450966452561225,gpu,+,0.031681551615803216,5,rmse,437,32,regression,42,0.8326320323149597,0.45470105222137214,-1,0.7557006933257961,2933.672049121532,1
gbdt,0.9434212723757007,gpu,+,0.03229300915669146,5,rmse,343,66,regression,42,0.8178300196637514,0.003630307254743226,-1,0.7416009466153191,3015.6790766253007,11
goss,0.8872081224782706,gpu,+,0.023763498182367174,5,rmse,413,34,regression,42,0.9187225216693768,0.44483251230115173,-1,1.0,3025.8213402591896,4
gbdt,0.7882928644410998,gpu,+,0.025896258537226054,5,rmse,308,35,regression,42,0.6368405582071232,0.6435208899505348,-1,0.5012039085487188,3133.4606129217213,87
gbdt,0.7406375384422295,gpu,+,0.022213824906710748,5,rmse,351,52,regression,42,0.04882571853652186,0.5078062534293094,-1,0.5179874499028965,3148.339561829874,51
gbdt,0.9517202252648561,gpu,+,0.016181369503291812,5,rmse,446,32,regression,42,0.44961676849493976,0.947767538047506,-1,0.6098582407861879,3202.467176988512,89
goss,0.9809815427815758,gpu,+,0.011034548546693194,5,rmse,321,75,regression,42,0.8751118984907046,0.3977858693319253,-1,1.0,3547.0582478495157,20
dart,0.6033034953151886,gpu,+,0.017213035833797987,5,rmse,412,50,regression,42,0.2208005749476129,0.06318976653217459,-1,0.7833315649017076,8308.605074823256,31
dart,0.6154773297209674,gpu,+,0.011422707344719162,5,rmse,319,38,regression,42,0.6400100015740248,0.583369285641829,-1,0.6654417354061734,11297.017358373292,16
